word,frequency
learning,12
education,11
using,10
performance,9
pandemic,8
digital,6
change,5
development,5
student,5
study,5
students,5
knowledge,4
associated,4
school,4
smart,4
systematic,4
review,4
impact,4
effects,4
research,4
engineering,4
health,4
covid19,4
role,4
deep,4
analysis,4
behavior,3
older,3
factors,3
sustainable,3
higher,3
training,3
reading,3
literacy,3
effect,3
towards,3
business,3
challenges,3
framework,3
attention,3
patients,3
en,3
elearning,3
case,3
‘,3
educational,3
data,3
population,3
based,3
climate,3
secondary,3
evidence,3
assessment,2
foster,2
dental,2
period,2
cardiothoracic,2
ai,2
impacts,2
preservice,2
gamified,2
methods,2
approach,2
environmental,2
fracture,2
human,2
jordan,2
private,2
diabetes,2
care,2
de,2
evaluation,2
university,2
disease,2
attitudes,2
tracing,2
households,2
childrens,2
maternal,2
mediating,2
family,2
chinese,2
systems,2
comprehensive,2
toward,2
economic,2
new,2
techniques,2
adults,2
children,2
effectiveness,2
process,2
academic,2
healthy,2
behaviors,2
crosssectional,2
critical,2
management,2
literature,2
national,2
individual,2
chronic,2
success,2
intervention,2
social,2
modeling,2
system,2
virtual,2
saudi,2
technology,2
united,2
classification,2
among,2
public,2
media,2
satisfaction,2
models,2
organizations,2
adoption,2
text,2
neural,2
interventions,2
il10,2
nursing,2
platforms,2
reviewthe,2
mobile,2
colombia,2
comparison,2
financial,2
collaborative,1
analyticsenhanced,1
reflective,1
conducive,1
epistemic,1
emotions,1
buildingwalk4fitness,1
seed,1
adultsincidence,1
caries,1
municipality,1
southern,1
brazilbecoming,1
surgical,1
educatorthe,1
influence,1
technologies,1
institutionsfrom,1
chatting,1
selfeducating,1
tools,1
boost,1
outcomesadvanced,1
fellowships,1
super,1
nota,1
childhood,1
vision,1
impairment,1
educationinteractive,1
equality,1
peer,1
teachers,1
technologyenhanced,1
design,1
feedback,1
uptakethe,1
intellectual,1
capital,1
sustainability,1
mediated,1
ecoproduct,1
innovation,1
external,1
indonesian,1
bottled,1
drinking,1
water,1
industriesexploring,1
longterm,1
retention,1
transfer,1
skills,1
environmentsingularity,1
detection,1
classificationmetaverse,1
service,1
industries,1
future,1
applications,1
opportunities,1
directionsoceanai,1
emoformer,1
crosshemiface,1
personality,1
traits,1
assessmentenvironmental,1
sarithaapps,1
enhance,1
environmentally,1
friendly,1
supply,1
chain,1
efficiency,1
sustainabilitythe,1
osteoporosis,1
program,1
fragility,1
chinathe,1
entrepreneurship,1
selfconcept,1
work,1
motivation,1
risk,1
taking,1
resource,1
department,1
overall,1
universitiesapproach,1
obesity,1
primary,1
abordaje,1
pacientes,1
con,1
obesidad,1
atención,1
primariastrategic,1
crisisimplications,1
chatbots,1
solution,1
symptomfree,1
inflammatory,1
bowel,1
remission,1
expectations,1
raised,1
online,1
resourcesimagelm,1
interpretable,1
imagebased,1
learner,1
modelling,1
classifying,1
learners,1
computational,1
thinkingthe,1
flipped,1
achievement,1
measuring,1
corona,1
periodheterogeneous,1
graphbased,1
spatiotemporal,1
evolutionm2plab,1
pocket,1
laboratory,1
unified,1
flexible,1
applied,1
educationstructural,1
changes,1
african,1
femaleheaded,1
investments,1
imperfect,1
credit,1
market,1
africaprepandemic,1
adversity,1
mental,1
stress,1
relationshipschinese,1
geological,1
named,1
entity,1
recognition,1
fusing,1
multifeatures,1
enhancement,1
learninguncovering,1
coupling,1
energyrelated,1
carbon,1
emissions,1
variety,1
provincesage,1
singapores,1
demographic,1
dividend,1
1970–2020predicting,1
perceived,1
proficiency,1
prosody,1
modelingexperts,1
intelligent,1
homes,1
transformation,1
cities,1
reviewlower,1
emotional,1
availability,1
related,1
increased,1
fearful,1
faces,1
infancygenerational,1
dependency,1
aging,1
europe,1
contribution,1
changesartificial,1
intelligenceassisted,1
repair,1
peripheral,1
nerve,1
injury,1
hotspot,1
challengesiot,1
ensemble,1
predictive,1
determine,1
observing,1
elearningimpact,1
atopic,1
dermatitis,1
food,1
allergy,1
reviewnonreactivity,1
intentionally,1
well,1
teacher,1
wisdom,1
fieldexamining,1
information,1
presentation,1
chatbot,1
use,1
electronic,1
record,1
patient,1
portals,1
exploratory,1
studya,1
novel,1
method,1
reinforcement,1
machining,1
route,1
planningevaluation,1
xgboost,1
classifierenhanced,1
aeo,1
hybrid,1
modelrelationship,1
adherence,1
mediterranean,1
diet,1
eating,1
awareness,1
turkeywhy,1
differences,1
resident,1
attending,1
operative,1
cases,1
teaching,1
hospitalsresilience,1
situation,1
umbrella,1
reviewsocioeconomic,1
inequalities,1
transfers,1
accounts,1
ecuador,1
2006,1
2011,1
socialist,1
government,1
make,1
differenceassociations,1
diseases,1
multimorbidity,1
multidimensional,1
frailtya,1
multivocal,1
phishing,1
awarenessdevelopment,1
act,1
checkitout,1
support,1
patientinitiated,1
follow,1
head,1
neck,1
cancer,1
patientsaged,1
projects,1
selfadaptive,1
consensus,1
emergence,1
model,1
driven,1
mechanismnavigating,1
promotion,1
thoracic,1
surgeryunderstanding,1
meeting,1
professional,1
needs,1
english,1
educators,1
tutoring,1
organization,1
chinaeffect,1
subject,1
happiness,1
indian,1
senior,1
studentswhat,1
right,1
first,1
jobprogressive,1
abstract,1
concreteevaluation,1
mineral,1
nearinfrared,1
forecasting,1
wheat,1
yield,1
varieties,1
spectrophotometric,1
techniquesdevelopment,1
threedimensional,1
acupuncture,1
point,1
visualization,1
mongolian,1
medicineneuralsymbolic,1
bdiagent,1
multicontext,1
negotiating,1
agentformula,1
presentedimpact,1
architectural,1
lockdown,1
arabiaclimate,1
divorce,1
implication,1
educationenhancing,1
physics,1
computer,1
simulationsdevelopment,1
lowcost,1
soft,1
robot,1
fish,1
biomimetic,1
swimming,1
performanceharnessing,1
issue,1
adopting,1
metaverse,1
institutions,1
arab,1
emiratesimprovement,1
emotion,1
multiresolution,1
variational,1
mode,1
decomposition,1
methodpresence,1
microplastics,1
contamination,1
table,1
salt,1
estimated,1
exposure,1
humansan,1
institutional,1
curriculum,1
opioid,1
prescribing,1
outcomes,1
2017,1
2022early,1
manifestation,1
hyperuricemia,1
pathophysiological,1
interface,1
adiposopathy,1
metabolic,1
syndrome,1
young,1
adult,1
studymicrornas,1
potential,1
biomarkers,1
diagnosis,1
deficit,1
hyperactivity,1
disorderthe,1
administration,1
socialization,1
influencing,1
services,1
awarenessan,1
deforestationbest,1
practices,1
implementing,1
chatgpt,1
large,1
language,1
artificial,1
intelligence,1
qualitative,1
surveybased,1
researchselection,1
best,1
big,1
platform,1
cobracartasi,1
methodology,1
adaptive,1
standardized,1
intervalseducational,1
triumphs,1
face,1
crisis,1
jordans,1
timemeasuring,1
empirical,1
indonesiaeffects,1
temperature,1
anomaly,1
perspective,1
adaptationa,1
mining,1
spam,1
dataset,1
detectioneffects,1
temporal,1
selfregulation,1
theorybased,1
selfmanagement,1
hemodialysis,1
randomized,1
controlled,1
trialglobal,1
local,1
cognitive,1
predictionformula,1
presentedexploring,1
advice,1
professionals,1
usa,1
nhanes,1
2015–2018safetypromoting,1
person,1
hip,1
returning,1
home,1
reviewfactors,1
attempting,1
succeeding,1
smoking,1
cessation,1
following,1
tobacco,1
control,1
plan,1
two,1
nationwide,1
surveys,1
2010,1
2017from,1
residency,1
retirementstop,1
smell,1
flowersinterleukin,1
10,1
promoter,1
region,1
polymorphism,1
serum,1
concentrations,1
processing,1
speed,1
communitydwelling,1
adultsthe,1
experiences,1
international,1
canadian,1
faculty,1
narrative,1
inquiry,1
studycritical,1
publicprivate,1
partnership,1
enhancing,1
broadband,1
initiatives,1
statesbeyond,1
skill,1
realworld,1
scenarios,1
variablesgraph,1
networks,1
predicting,1
forecastingadopting,1
machine,1
translation,1
healthcare,1
sector,1
methodological,1
multicriteria,1
high,1
learningcoverage,1
suicide,1
traditional,1
20182021,1
cobertura,1
del,1
suicido,1
los,1
medios,1
comunicación,1
tradicionales,1
antes,1
durante,1
la,1
pandemia,1
20182021harnessing,1
optical,1
flow,1
cardiopulmonary,1
resuscitation,1
trainingintracouple,1
intragender,1
class,1
identity,1
couplesrevisiting,1
unsinkable,1
ships,1
titanic,1
helge,1
ingstad,1
longstanding,1
issues,1
persistent,1
risks,1
ship,1
disastershow,1
jordanian,1
millennial,1
generationcocoa,1
farmers,1
characteristics,1
variability,1
adaptation,1
strategycombining,1
piano,1
dimensions,1
score,1
difficulty,1
classificationformula,1
presenteddiversity,1
surgery,1
workforce,1
dobehavioral,1
symptom,1
cluster,1
obstructive,1
pulmonary,1
insomniamethodological,1
approaches,1
competence,1
areas,1
reality,1
simulation,1
–,1
scoping,1
gojek,1
grab,1
sharing,1
economy,1
accounting,1
usage,1
msmes,1
indonesiaquality,1
impacting,1
within,1
environment,1
arabia,1
universities,1
interview,1
